,DS_Struct,DS_NonStruct_DriftSen,DS_NonStruct_AccelSen,RepairCost_Total,RepairCost_Struct,RepairCost_NonStruct_DriftSen,RepairCost_NonStruct_AccelSen,RepairTime,RecoveryTime,FunctionLossTime
0,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
1,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
2,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
3,Slight,None,None,683808.4511991359,683808.4511991359,0.0,0.0,5,10,0.0
4,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
5,Moderate,Slight,None,5242531.459193375,3191106.1055959673,2051425.353597408,0.0,30,120,60.0
6,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
7,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
8,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
9,None,Slight,None,2051425.353597408,0.0,2051425.353597408,0.0,0,0,0.0
10,Complete,Complete,Moderate,149526114.66221106,31455188.755160253,96872863.91987759,21198061.987173215,240,960,960.0
11,Extensive,Moderate,Extensive,112372522.14705801,15727594.377580127,9801254.467187613,86843673.30229026,120,480,480.0
12,Moderate,Extensive,Moderate,72939568.12790783,3191106.1055959673,48550400.035138644,21198061.987173215,30,120,60.0
13,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
14,Extensive,Moderate,Extensive,112372522.14705801,15727594.377580127,9801254.467187613,86843673.30229026,120,480,480.0
15,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
16,None,Slight,None,2051425.353597408,0.0,2051425.353597408,0.0,0,0,0.0
17,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
18,Extensive,Extensive,Moderate,85476056.39989199,15727594.377580127,48550400.035138644,21198061.987173215,120,480,480.0
19,Moderate,Slight,None,5242531.459193375,3191106.1055959673,2051425.353597408,0.0,30,120,60.0
20,Slight,Slight,None,2735233.804796544,683808.4511991359,2051425.353597408,0.0,5,10,0.0
21,Complete,Complete,Complete,341904225.59956795,31455188.755160253,96872863.91987759,213576172.92453012,240,960,960.0
22,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
23,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
24,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
25,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
26,Moderate,Slight,Slight,9345382.166388191,3191106.1055959673,2051425.353597408,4102850.7071948154,30,120,60.0
27,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
28,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
29,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
30,Slight,None,None,683808.4511991359,683808.4511991359,0.0,0.0,5,10,0.0
31,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
32,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
33,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
34,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
35,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
36,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
37,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
38,None,None,Slight,4102850.7071948154,0.0,0.0,4102850.7071948154,0,0,0.0
39,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
40,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
41,Moderate,Extensive,None,51741506.14073461,3191106.1055959673,48550400.035138644,0.0,30,120,60.0
42,None,Slight,None,2051425.353597408,0.0,2051425.353597408,0.0,0,0,0.0
43,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
44,Slight,None,None,683808.4511991359,683808.4511991359,0.0,0.0,5,10,0.0
45,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
46,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
47,Moderate,Extensive,Slight,55844356.847929426,3191106.1055959673,48550400.035138644,4102850.7071948154,30,120,60.0
48,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
49,Moderate,Extensive,Slight,55844356.847929426,3191106.1055959673,48550400.035138644,4102850.7071948154,30,120,60.0
50,None,Moderate,None,9801254.467187613,0.0,9801254.467187613,0.0,0,0,0.0
51,Slight,Complete,Slight,101659523.07827154,683808.4511991359,96872863.91987759,4102850.7071948154,5,10,0.0
52,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
53,Complete,Extensive,Moderate,101203650.77747211,31455188.755160253,48550400.035138644,21198061.987173215,240,960,960.0
54,Moderate,None,Slight,7293956.812790783,3191106.1055959673,0.0,4102850.7071948154,30,120,60.0
55,Moderate,None,Moderate,24389168.092769183,3191106.1055959673,0.0,21198061.987173215,30,120,60.0
56,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
57,Moderate,Extensive,Slight,55844356.847929426,3191106.1055959673,48550400.035138644,4102850.7071948154,30,120,60.0
58,None,Slight,Slight,6154276.060792224,0.0,2051425.353597408,4102850.7071948154,0,0,0.0
59,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
60,Moderate,Slight,None,5242531.459193375,3191106.1055959673,2051425.353597408,0.0,30,120,60.0
61,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
62,None,Slight,Slight,6154276.060792224,0.0,2051425.353597408,4102850.7071948154,0,0,0.0
63,Slight,Slight,Moderate,23933295.791969758,683808.4511991359,2051425.353597408,21198061.987173215,5,10,0.0
64,Slight,None,None,683808.4511991359,683808.4511991359,0.0,0.0,5,10,0.0
65,Complete,Complete,Complete,341904225.59956795,31455188.755160253,96872863.91987759,213576172.92453012,240,960,960.0
66,None,Slight,None,2051425.353597408,0.0,2051425.353597408,0.0,0,0,0.0
67,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
68,Complete,Complete,Moderate,149526114.66221106,31455188.755160253,96872863.91987759,21198061.987173215,240,960,960.0
69,Moderate,Slight,None,5242531.459193375,3191106.1055959673,2051425.353597408,0.0,30,120,60.0
70,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
71,Slight,Moderate,None,10485062.91838675,683808.4511991359,9801254.467187613,0.0,5,10,0.0
72,Slight,None,None,683808.4511991359,683808.4511991359,0.0,0.0,5,10,0.0
73,Moderate,Slight,None,5242531.459193375,3191106.1055959673,2051425.353597408,0.0,30,120,60.0
74,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
75,Extensive,Extensive,None,64277994.41271877,15727594.377580127,48550400.035138644,0.0,120,480,480.0
76,Slight,Slight,Slight,6838084.511991359,683808.4511991359,2051425.353597408,4102850.7071948154,5,10,0.0
77,Moderate,Moderate,Slight,17095211.279978395,3191106.1055959673,9801254.467187613,4102850.7071948154,30,120,60.0
78,Slight,Moderate,Slight,14587913.625581566,683808.4511991359,9801254.467187613,4102850.7071948154,5,10,0.0
79,Slight,Slight,Slight,6838084.511991359,683808.4511991359,2051425.353597408,4102850.7071948154,5,10,0.0
80,Moderate,None,Slight,7293956.812790783,3191106.1055959673,0.0,4102850.7071948154,30,120,60.0
81,Slight,None,None,683808.4511991359,683808.4511991359,0.0,0.0,5,10,0.0
82,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
83,Moderate,Moderate,None,12992360.57278358,3191106.1055959673,9801254.467187613,0.0,30,120,60.0
