,DS_Struct,DS_NonStruct_DriftSen,DS_NonStruct_AccelSen,RepairCost_Total,RepairCost_Struct,RepairCost_NonStruct_DriftSen,RepairCost_NonStruct_AccelSen,RepairTime,RecoveryTime,FunctionLossTime
0,Complete,Complete,Complete,35827216.71662399,4585883.7397278715,7858102.866512862,23383230.11038326,240,480,144.0
1,None,Slight,Slight,621005.0897548159,0.0,167193.67801091197,453811.411743904,0,0,0.0
2,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
3,None,Slight,Extensive,9577809.268910816,0.0,167193.67801091197,9410615.590899903,0,0,0.0
4,Slight,None,None,95539.244577664,95539.244577664,0.0,0.0,5,20,2.0
5,Complete,Complete,Slight,12897798.017984638,4585883.7397278715,7858102.866512862,453811.411743904,240,480,144.0
6,Slight,None,None,95539.244577664,95539.244577664,0.0,0.0,5,20,2.0
7,Extensive,Moderate,None,3081140.6376296636,2292941.8698639357,788198.767765728,0.0,120,360,72.0
8,Moderate,Slight,Slight,1074816.50149872,453811.41174390394,167193.67801091197,453811.411743904,30,90,9.0
9,Moderate,Slight,None,621005.0897548159,453811.41174390394,167193.67801091197,0.0,30,90,9.0
10,Extensive,Extensive,Slight,6663862.309292063,2292941.8698639357,3917109.027684223,453811.411743904,120,360,72.0
11,Complete,Complete,Complete,35827216.71662399,4585883.7397278715,7858102.866512862,23383230.11038326,240,480,144.0
12,Moderate,Moderate,None,1242010.1795096318,453811.41174390394,788198.767765728,0.0,30,90,9.0
13,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
14,Complete,Complete,Moderate,14784698.098393502,4585883.7397278715,7858102.866512862,2340711.4921527677,240,480,144.0
15,Complete,Complete,Extensive,21854602.197140638,4585883.7397278715,7858102.866512862,9410615.590899903,240,480,144.0
16,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
17,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
18,Extensive,Complete,None,10151044.736376798,2292941.8698639357,7858102.866512862,0.0,120,360,72.0
19,Extensive,Extensive,None,6210050.897548159,2292941.8698639357,3917109.027684223,0.0,120,360,72.0
20,Moderate,None,None,453811.41174390394,453811.41174390394,0.0,0.0,30,90,9.0
21,Extensive,Extensive,Slight,6663862.309292063,2292941.8698639357,3917109.027684223,453811.411743904,120,360,72.0
22,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
23,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
24,Moderate,None,None,453811.41174390394,453811.41174390394,0.0,0.0,30,90,9.0
25,Complete,Extensive,None,8502992.767412094,4585883.7397278715,3917109.027684223,0.0,240,480,144.0
26,Moderate,None,None,453811.41174390394,453811.41174390394,0.0,0.0,30,90,9.0
27,Complete,Extensive,Slight,8956804.179155998,4585883.7397278715,3917109.027684223,453811.411743904,240,480,144.0
28,Complete,Complete,Complete,35827216.71662399,4585883.7397278715,7858102.866512862,23383230.11038326,240,480,144.0
29,Moderate,None,None,453811.41174390394,453811.41174390394,0.0,0.0,30,90,9.0
30,None,Moderate,None,788198.767765728,0.0,788198.767765728,0.0,0,0,0.0
31,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
32,Moderate,Slight,Slight,1074816.50149872,453811.41174390394,167193.67801091197,453811.411743904,30,90,9.0
33,Extensive,Moderate,Slight,3534952.0493735676,2292941.8698639357,788198.767765728,453811.411743904,120,360,72.0
34,Slight,Slight,Slight,716544.33433248,95539.244577664,167193.67801091197,453811.411743904,5,20,2.0
35,Complete,Extensive,Slight,8956804.179155998,4585883.7397278715,3917109.027684223,453811.411743904,240,480,144.0
