,DS_Struct,DS_NonStruct_DriftSen,DS_NonStruct_AccelSen,RepairCost_Total,RepairCost_Struct,RepairCost_NonStruct_DriftSen,RepairCost_NonStruct_AccelSen,RepairTime,RecoveryTime,FunctionLossTime
0,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
1,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
2,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
3,Slight,Slight,Moderate,2463151.90662576,70375.768760736,211127.306282208,2181648.831582816,5,10,0.0
4,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
5,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
6,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
7,Slight,None,Slight,492630.381325152,70375.768760736,0.0,422254.612564416,5,10,0.0
8,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
9,Moderate,None,Extensive,9266142.88683024,328420.25421676796,0.0,8937722.632613473,30,120,60.0
10,Complete,Complete,Moderate,15388834.769014271,3237285.362993856,9969900.5744376,2181648.831582816,240,960,960.0
11,Moderate,Moderate,Moderate,3518788.4380367994,328420.25421676796,1008719.3522372158,2181648.831582816,30,120,60.0
12,Extensive,Extensive,Extensive,15553044.896122657,1618642.681496928,4996679.582012256,8937722.632613473,120,480,480.0
13,Slight,Slight,Moderate,2463151.90662576,70375.768760736,211127.306282208,2181648.831582816,5,10,0.0
14,Moderate,Moderate,Moderate,3518788.4380367994,328420.25421676796,1008719.3522372158,2181648.831582816,30,120,60.0
15,Moderate,None,None,328420.25421676796,328420.25421676796,0.0,0.0,30,120,60.0
16,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
17,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
18,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
19,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
20,Slight,Moderate,Slight,1501349.733562368,70375.768760736,1008719.3522372158,422254.612564416,5,10,0.0
21,Moderate,Moderate,None,1337139.6064539838,328420.25421676796,1008719.3522372158,0.0,30,120,60.0
22,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
23,Slight,Moderate,Slight,1501349.733562368,70375.768760736,1008719.3522372158,422254.612564416,5,10,0.0
24,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
25,Moderate,None,Extensive,9266142.88683024,328420.25421676796,0.0,8937722.632613473,30,120,60.0
26,Moderate,Slight,Slight,961802.1730633919,328420.25421676796,211127.306282208,422254.612564416,30,120,60.0
27,Extensive,Moderate,Moderate,4809010.865316959,1618642.681496928,1008719.3522372158,2181648.831582816,120,480,480.0
28,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
29,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
30,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
31,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
32,Moderate,Slight,None,539547.5604989759,328420.25421676796,211127.306282208,0.0,30,120,60.0
33,Moderate,None,None,328420.25421676796,328420.25421676796,0.0,0.0,30,120,60.0
34,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
35,Complete,Complete,Complete,35187884.380367994,3237285.362993856,9969900.5744376,21980698.442936543,240,960,960.0
36,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
37,Moderate,Slight,Moderate,2721196.3920817915,328420.25421676796,211127.306282208,2181648.831582816,30,120,60.0
38,Slight,Moderate,None,1079095.1209979518,70375.768760736,1008719.3522372158,0.0,5,10,0.0
39,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
40,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
41,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
42,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
43,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
44,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
45,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
46,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
47,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
48,None,Moderate,None,1008719.3522372158,0.0,1008719.3522372158,0.0,0,0,0.0
49,Extensive,Slight,Moderate,4011418.819361952,1618642.681496928,211127.306282208,2181648.831582816,120,480,480.0
50,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
51,Moderate,Moderate,Moderate,3518788.4380367994,328420.25421676796,1008719.3522372158,2181648.831582816,30,120,60.0
52,Moderate,Moderate,None,1337139.6064539838,328420.25421676796,1008719.3522372158,0.0,30,120,60.0
53,Slight,Moderate,None,1079095.1209979518,70375.768760736,1008719.3522372158,0.0,5,10,0.0
54,Slight,None,Slight,492630.381325152,70375.768760736,0.0,422254.612564416,5,10,0.0
55,Slight,Moderate,None,1079095.1209979518,70375.768760736,1008719.3522372158,0.0,5,10,0.0
56,Slight,None,Moderate,2252024.600343552,70375.768760736,0.0,2181648.831582816,5,10,0.0
57,Moderate,Moderate,Moderate,3518788.4380367994,328420.25421676796,1008719.3522372158,2181648.831582816,30,120,60.0
58,Moderate,Slight,None,539547.5604989759,328420.25421676796,211127.306282208,0.0,30,120,60.0
59,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
60,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
61,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
62,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
63,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
64,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
65,Slight,Slight,Moderate,2463151.90662576,70375.768760736,211127.306282208,2181648.831582816,5,10,0.0
66,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
67,Moderate,Slight,Slight,961802.1730633919,328420.25421676796,211127.306282208,422254.612564416,30,120,60.0
68,Extensive,Moderate,Slight,3049616.64629856,1618642.681496928,1008719.3522372158,422254.612564416,120,480,480.0
69,None,None,Slight,422254.612564416,0.0,0.0,422254.612564416,0,0,0.0
70,Slight,None,Slight,492630.381325152,70375.768760736,0.0,422254.612564416,5,10,0.0
71,Slight,Moderate,Slight,1501349.733562368,70375.768760736,1008719.3522372158,422254.612564416,5,10,0.0
72,Moderate,None,Moderate,2510069.0857995837,328420.25421676796,0.0,2181648.831582816,30,120,60.0
73,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
74,Slight,None,Slight,492630.381325152,70375.768760736,0.0,422254.612564416,5,10,0.0
75,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
76,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
77,Slight,Moderate,Slight,1501349.733562368,70375.768760736,1008719.3522372158,422254.612564416,5,10,0.0
78,Moderate,Slight,None,539547.5604989759,328420.25421676796,211127.306282208,0.0,30,120,60.0
79,Slight,Slight,None,281503.075042944,70375.768760736,211127.306282208,0.0,5,10,0.0
80,Slight,Slight,Slight,703757.6876073601,70375.768760736,211127.306282208,422254.612564416,5,10,0.0
81,Slight,Slight,Slight,703757.6876073601,70375.768760736,211127.306282208,422254.612564416,5,10,0.0
82,Moderate,None,None,328420.25421676796,328420.25421676796,0.0,0.0,30,120,60.0
83,Slight,Moderate,Moderate,3260743.9525807677,70375.768760736,1008719.3522372158,2181648.831582816,5,10,0.0
84,Moderate,Moderate,Moderate,3518788.4380367994,328420.25421676796,1008719.3522372158,2181648.831582816,30,120,60.0
85,Moderate,Extensive,Moderate,7506748.667811839,328420.25421676796,4996679.582012256,2181648.831582816,30,120,60.0
86,Slight,None,None,70375.768760736,70375.768760736,0.0,0.0,5,10,0.0
87,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
88,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
89,None,None,Slight,422254.612564416,0.0,0.0,422254.612564416,0,0,0.0
90,Slight,Moderate,None,1079095.1209979518,70375.768760736,1008719.3522372158,0.0,5,10,0.0
91,Moderate,Moderate,Slight,1759394.2190183997,328420.25421676796,1008719.3522372158,422254.612564416,30,120,60.0
92,Slight,Slight,Moderate,2463151.90662576,70375.768760736,211127.306282208,2181648.831582816,5,10,0.0
93,Moderate,Slight,None,539547.5604989759,328420.25421676796,211127.306282208,0.0,30,120,60.0
94,None,None,Slight,422254.612564416,0.0,0.0,422254.612564416,0,0,0.0
95,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
96,Slight,Moderate,Slight,1501349.733562368,70375.768760736,1008719.3522372158,422254.612564416,5,10,0.0
97,Slight,None,Slight,492630.381325152,70375.768760736,0.0,422254.612564416,5,10,0.0
98,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
