,DS_Struct,DS_NonStruct_DriftSen,DS_NonStruct_AccelSen,RepairCost_Total,RepairCost_Struct,RepairCost_NonStruct_DriftSen,RepairCost_NonStruct_AccelSen,RepairTime,RecoveryTime,FunctionLossTime
0,Complete,Complete,Complete,104755318.981968,9637489.346341057,29680673.711557597,65437155.924069345,240,960,960.0
1,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
2,None,Slight,None,628531.913891808,0.0,628531.913891808,0.0,0,0,0.0
3,None,Slight,None,628531.913891808,0.0,628531.913891808,0.0,0,0,0.0
4,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
5,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
6,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
7,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
8,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
9,Slight,Slight,Slight,2095106.3796393597,209510.637963936,628531.913891808,1257063.8277836158,5,10,0.0
10,Complete,Complete,Complete,104755318.981968,9637489.346341057,29680673.711557597,65437155.924069345,240,960,960.0
11,Complete,Complete,Complete,104755318.981968,9637489.346341057,29680673.711557597,65437155.924069345,240,960,960.0
12,Complete,Complete,Complete,104755318.981968,9637489.346341057,29680673.711557597,65437155.924069345,240,960,960.0
13,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
14,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
15,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
16,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
17,None,Moderate,None,3002985.8108164156,0.0,3002985.8108164156,0.0,0,0,0.0
18,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
19,None,Moderate,None,3002985.8108164156,0.0,3002985.8108164156,0.0,0,0,0.0
20,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
21,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
22,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
23,Slight,Moderate,Slight,4469560.276563968,209510.637963936,3002985.8108164156,1257063.8277836158,5,10,0.0
24,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
25,Moderate,Moderate,Moderate,10475531.898196798,977716.3104983679,3002985.8108164156,6494829.776882015,30,120,60.0
26,Moderate,Moderate,Moderate,10475531.898196798,977716.3104983679,3002985.8108164156,6494829.776882015,30,120,60.0
27,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
28,Moderate,None,Slight,2234780.138281984,977716.3104983679,0.0,1257063.8277836158,30,120,60.0
29,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
30,None,Slight,None,628531.913891808,0.0,628531.913891808,0.0,0,0,0.0
31,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
32,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
33,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
34,Slight,Moderate,Moderate,9707326.225662367,209510.637963936,3002985.8108164156,6494829.776882015,5,10,0.0
35,Moderate,Extensive,None,15852971.605937822,977716.3104983679,14875255.295439454,0.0,30,120,60.0
36,Extensive,Moderate,None,7821730.483986944,4818744.673170528,3002985.8108164156,0.0,120,480,480.0
37,Moderate,Slight,Slight,2863312.0521737915,977716.3104983679,628531.913891808,1257063.8277836158,30,120,60.0
38,Extensive,Moderate,Slight,9078794.31177056,4818744.673170528,3002985.8108164156,1257063.8277836158,120,480,480.0
39,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
40,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
41,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
42,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
43,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
44,Slight,Moderate,Slight,4469560.276563968,209510.637963936,3002985.8108164156,1257063.8277836158,5,10,0.0
45,None,Slight,None,628531.913891808,0.0,628531.913891808,0.0,0,0,0.0
46,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
47,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
48,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
49,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
50,Slight,Slight,Moderate,7332872.328737759,209510.637963936,628531.913891808,6494829.776882015,5,10,0.0
51,Extensive,Moderate,None,7821730.483986944,4818744.673170528,3002985.8108164156,0.0,120,480,480.0
52,Slight,Moderate,Extensive,29820347.47020022,209510.637963936,3002985.8108164156,26607851.021419868,5,10,0.0
53,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
54,Moderate,Slight,Moderate,8101078.001272191,977716.3104983679,628531.913891808,6494829.776882015,30,120,60.0
55,Moderate,None,None,977716.3104983679,977716.3104983679,0.0,0.0,30,120,60.0
56,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
57,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
58,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
59,Moderate,Slight,Slight,2863312.0521737915,977716.3104983679,628531.913891808,1257063.8277836158,30,120,60.0
60,None,Slight,None,628531.913891808,0.0,628531.913891808,0.0,0,0,0.0
61,Moderate,Slight,Slight,2863312.0521737915,977716.3104983679,628531.913891808,1257063.8277836158,30,120,60.0
62,Slight,None,Slight,1466574.4657475518,209510.637963936,0.0,1257063.8277836158,5,10,0.0
63,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
64,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
65,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
66,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
67,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
68,Extensive,Complete,Extensive,61107269.406147994,4818744.673170528,29680673.711557597,26607851.021419868,120,480,480.0
69,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
70,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
71,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
72,None,Slight,Slight,1885595.741675424,0.0,628531.913891808,1257063.8277836158,0,0,0.0
73,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
74,Moderate,Slight,Slight,2863312.0521737915,977716.3104983679,628531.913891808,1257063.8277836158,30,120,60.0
75,Moderate,Moderate,Moderate,10475531.898196798,977716.3104983679,3002985.8108164156,6494829.776882015,30,120,60.0
76,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
77,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
78,None,Slight,Slight,1885595.741675424,0.0,628531.913891808,1257063.8277836158,0,0,0.0
79,None,None,Slight,1257063.8277836158,0.0,0.0,1257063.8277836158,0,0,0.0
80,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
81,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
82,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
83,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
84,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
85,Extensive,Moderate,Moderate,14316560.26086896,4818744.673170528,3002985.8108164156,6494829.776882015,120,480,480.0
86,None,None,Slight,1257063.8277836158,0.0,0.0,1257063.8277836158,0,0,0.0
87,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
88,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
89,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
90,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
91,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
92,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
93,Extensive,Slight,Slight,6704340.414845953,4818744.673170528,628531.913891808,1257063.8277836158,120,480,480.0
94,Slight,Moderate,Slight,4469560.276563968,209510.637963936,3002985.8108164156,1257063.8277836158,5,10,0.0
95,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
96,Extensive,Moderate,Slight,9078794.31177056,4818744.673170528,3002985.8108164156,1257063.8277836158,120,480,480.0
97,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
98,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
99,Moderate,None,None,977716.3104983679,977716.3104983679,0.0,0.0,30,120,60.0
100,Moderate,None,None,977716.3104983679,977716.3104983679,0.0,0.0,30,120,60.0
101,Moderate,Slight,Moderate,8101078.001272191,977716.3104983679,628531.913891808,6494829.776882015,30,120,60.0
102,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
103,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
104,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
105,Complete,Complete,Complete,104755318.981968,9637489.346341057,29680673.711557597,65437155.924069345,240,960,960.0
106,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
107,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
108,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
109,Complete,Complete,Complete,104755318.981968,9637489.346341057,29680673.711557597,65437155.924069345,240,960,960.0
110,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
111,Extensive,Moderate,Slight,9078794.31177056,4818744.673170528,3002985.8108164156,1257063.8277836158,120,480,480.0
112,Extensive,Moderate,None,7821730.483986944,4818744.673170528,3002985.8108164156,0.0,120,480,480.0
113,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
114,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
115,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
116,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
117,Moderate,Moderate,Moderate,10475531.898196798,977716.3104983679,3002985.8108164156,6494829.776882015,30,120,60.0
118,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
119,Moderate,Slight,Slight,2863312.0521737915,977716.3104983679,628531.913891808,1257063.8277836158,30,120,60.0
120,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
121,Slight,Moderate,Slight,4469560.276563968,209510.637963936,3002985.8108164156,1257063.8277836158,5,10,0.0
122,Moderate,Moderate,Slight,5237765.949098399,977716.3104983679,3002985.8108164156,1257063.8277836158,30,120,60.0
123,Moderate,Slight,Slight,2863312.0521737915,977716.3104983679,628531.913891808,1257063.8277836158,30,120,60.0
124,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
125,Moderate,None,None,977716.3104983679,977716.3104983679,0.0,0.0,30,120,60.0
126,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
127,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
128,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
129,Moderate,Extensive,None,15852971.605937822,977716.3104983679,14875255.295439454,0.0,30,120,60.0
130,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
131,Extensive,Extensive,Slight,20951063.796393596,4818744.673170528,14875255.295439454,1257063.8277836158,120,480,480.0
132,Moderate,Extensive,Slight,17110035.433721438,977716.3104983679,14875255.295439454,1257063.8277836158,30,120,60.0
133,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
134,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
135,Extensive,Extensive,None,19693999.96860998,4818744.673170528,14875255.295439454,0.0,120,480,480.0
136,Slight,None,None,209510.637963936,209510.637963936,0.0,0.0,5,10,0.0
137,None,Moderate,Slight,4260049.638600031,0.0,3002985.8108164156,1257063.8277836158,0,0,0.0
138,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
139,Slight,Moderate,None,3212496.448780352,209510.637963936,3002985.8108164156,0.0,5,10,0.0
140,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
141,Moderate,None,None,977716.3104983679,977716.3104983679,0.0,0.0,30,120,60.0
142,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
143,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
144,Moderate,Slight,None,1606248.224390176,977716.3104983679,628531.913891808,0.0,30,120,60.0
145,Extensive,Extensive,Slight,20951063.796393596,4818744.673170528,14875255.295439454,1257063.8277836158,120,480,480.0
146,Moderate,None,None,977716.3104983679,977716.3104983679,0.0,0.0,30,120,60.0
147,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
148,Moderate,Moderate,None,3980702.1213147836,977716.3104983679,3002985.8108164156,0.0,30,120,60.0
149,Slight,Slight,None,838042.551855744,209510.637963936,628531.913891808,0.0,5,10,0.0
