,DS_Struct,DS_NonStruct_DriftSen,DS_NonStruct_AccelSen,RepairCost_Total,RepairCost_Struct,RepairCost_NonStruct_DriftSen,RepairCost_NonStruct_AccelSen,RepairTime,RecoveryTime,FunctionLossTime
0,Extensive,Complete,Slight,662267.1256512,122603.2495272,523945.5108,15718.365324,90,360,360.0
1,Slight,Moderate,Moderate,138321.61485120002,5239.455108,52394.551080000005,80687.60866320001,2,5,0.0
2,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
3,Moderate,Slight,None,34580.4037128,24101.493496799998,10478.910216,0.0,30,120,60.0
4,Slight,Extensive,None,267212.210508,5239.455108,261972.7554,0.0,2,5,0.0
5,Extensive,Extensive,Slight,400294.3702512,122603.2495272,261972.7554,15718.365324,90,360,360.0
6,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
7,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
8,Extensive,Moderate,Slight,190716.16593120003,122603.2495272,52394.551080000005,15718.365324,90,360,360.0
9,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
10,Extensive,Extensive,Complete,1187260.5274728,122603.2495272,261972.7554,802684.5225456001,90,360,360.0
11,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
12,Extensive,Extensive,None,384576.0049272,122603.2495272,261972.7554,0.0,90,360,360.0
13,Slight,None,None,5239.455108,5239.455108,0.0,0.0,2,5,0.0
14,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
15,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
16,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
17,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
18,Extensive,Extensive,Moderate,465263.61359039997,122603.2495272,261972.7554,80687.60866320001,90,360,360.0
19,Slight,Moderate,Slight,73352.37151200001,5239.455108,52394.551080000005,15718.365324,2,5,0.0
20,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
21,Extensive,Extensive,None,384576.0049272,122603.2495272,261972.7554,0.0,90,360,360.0
22,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
23,Slight,Moderate,Slight,73352.37151200001,5239.455108,52394.551080000005,15718.365324,2,5,0.0
24,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
25,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
26,Moderate,Extensive,Moderate,366761.85756,24101.493496799998,261972.7554,80687.60866320001,30,120,60.0
27,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
28,Slight,Extensive,None,267212.210508,5239.455108,261972.7554,0.0,2,5,0.0
29,Slight,Moderate,Slight,73352.37151200001,5239.455108,52394.551080000005,15718.365324,2,5,0.0
30,Moderate,Slight,None,34580.4037128,24101.493496799998,10478.910216,0.0,30,120,60.0
31,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
32,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
33,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
34,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
35,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
36,Extensive,Moderate,Slight,190716.16593120003,122603.2495272,52394.551080000005,15718.365324,90,360,360.0
37,Moderate,Extensive,Slight,301792.6142208,24101.493496799998,261972.7554,15718.365324,30,120,60.0
38,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
39,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
40,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
41,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
42,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
43,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
44,Moderate,Extensive,Moderate,366761.85756,24101.493496799998,261972.7554,80687.60866320001,30,120,60.0
45,Extensive,Extensive,Moderate,465263.61359039997,122603.2495272,261972.7554,80687.60866320001,90,360,360.0
46,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
47,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
48,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
49,Extensive,Moderate,Moderate,255685.4092704,122603.2495272,52394.551080000005,80687.60866320001,90,360,360.0
50,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
51,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
52,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
53,Complete,Moderate,Slight,313319.41545840004,245206.4990544,52394.551080000005,15718.365324,180,720,720.0
54,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
55,Moderate,Complete,Extensive,893851.0414248,24101.493496799998,523945.5108,345804.037128,30,120,60.0
56,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
57,Extensive,Extensive,Slight,400294.3702512,122603.2495272,261972.7554,15718.365324,90,360,360.0
58,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
59,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
60,Moderate,Slight,None,34580.4037128,24101.493496799998,10478.910216,0.0,30,120,60.0
61,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
62,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
63,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
64,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
65,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
66,Slight,Slight,Slight,31436.730648,5239.455108,10478.910216,15718.365324,2,5,0.0
67,Extensive,Moderate,Slight,190716.16593120003,122603.2495272,52394.551080000005,15718.365324,90,360,360.0
68,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
69,Moderate,Moderate,Moderate,157183.65324,24101.493496799998,52394.551080000005,80687.60866320001,30,120,60.0
70,Moderate,Slight,Slight,50298.7690368,24101.493496799998,10478.910216,15718.365324,30,120,60.0
71,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
72,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
73,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
74,Slight,Slight,Slight,31436.730648,5239.455108,10478.910216,15718.365324,2,5,0.0
75,Moderate,Complete,Moderate,628734.61296,24101.493496799998,523945.5108,80687.60866320001,30,120,60.0
76,Moderate,Slight,None,34580.4037128,24101.493496799998,10478.910216,0.0,30,120,60.0
77,Extensive,Extensive,Slight,400294.3702512,122603.2495272,261972.7554,15718.365324,90,360,360.0
78,Slight,None,Moderate,85927.0637712,5239.455108,0.0,80687.60866320001,2,5,0.0
79,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
80,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
81,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
82,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
83,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
84,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
85,Moderate,Extensive,Slight,301792.6142208,24101.493496799998,261972.7554,15718.365324,30,120,60.0
86,Moderate,None,None,24101.493496799998,24101.493496799998,0.0,0.0,30,120,60.0
87,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
88,Moderate,Slight,None,34580.4037128,24101.493496799998,10478.910216,0.0,30,120,60.0
89,Slight,Slight,Slight,31436.730648,5239.455108,10478.910216,15718.365324,2,5,0.0
90,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
91,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
92,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
93,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
94,Slight,Moderate,Slight,73352.37151200001,5239.455108,52394.551080000005,15718.365324,2,5,0.0
95,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
96,Extensive,Complete,Moderate,727236.3689904,122603.2495272,523945.5108,80687.60866320001,90,360,360.0
97,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
98,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
99,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
100,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
101,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
102,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
103,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
104,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
105,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
106,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
107,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
108,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
109,Complete,Complete,Moderate,849839.6185176,245206.4990544,523945.5108,80687.60866320001,180,720,720.0
110,Moderate,Slight,None,34580.4037128,24101.493496799998,10478.910216,0.0,30,120,60.0
111,Complete,Complete,Slight,784870.3751784,245206.4990544,523945.5108,15718.365324,180,720,720.0
112,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
113,Extensive,Extensive,None,384576.0049272,122603.2495272,261972.7554,0.0,90,360,360.0
114,Moderate,Moderate,Moderate,157183.65324,24101.493496799998,52394.551080000005,80687.60866320001,30,120,60.0
115,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
116,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
117,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
118,Moderate,Moderate,Moderate,157183.65324,24101.493496799998,52394.551080000005,80687.60866320001,30,120,60.0
119,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
120,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
121,Moderate,Extensive,Moderate,366761.85756,24101.493496799998,261972.7554,80687.60866320001,30,120,60.0
122,Extensive,Extensive,Moderate,465263.61359039997,122603.2495272,261972.7554,80687.60866320001,90,360,360.0
123,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
124,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
125,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
126,None,Moderate,None,52394.551080000005,0.0,52394.551080000005,0.0,0,0,0.0
127,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
128,Slight,Moderate,Extensive,403438.043316,5239.455108,52394.551080000005,345804.037128,2,5,0.0
129,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
130,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
131,Extensive,Extensive,Slight,400294.3702512,122603.2495272,261972.7554,15718.365324,90,360,360.0
132,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
133,Extensive,Moderate,Slight,190716.16593120003,122603.2495272,52394.551080000005,15718.365324,90,360,360.0
134,Moderate,Extensive,None,286074.2488968,24101.493496799998,261972.7554,0.0,30,120,60.0
135,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
136,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
137,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
138,Extensive,Moderate,Slight,190716.16593120003,122603.2495272,52394.551080000005,15718.365324,90,360,360.0
139,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
140,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
141,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
142,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
143,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
144,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
145,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
146,Slight,Slight,Moderate,96405.9739872,5239.455108,10478.910216,80687.60866320001,2,5,0.0
147,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
148,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
149,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
150,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
151,Extensive,Moderate,Moderate,255685.4092704,122603.2495272,52394.551080000005,80687.60866320001,90,360,360.0
152,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
153,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
154,Moderate,Moderate,None,76496.0445768,24101.493496799998,52394.551080000005,0.0,30,120,60.0
155,Slight,Slight,None,15718.365324,5239.455108,10478.910216,0.0,2,5,0.0
156,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
157,Moderate,Extensive,None,286074.2488968,24101.493496799998,261972.7554,0.0,30,120,60.0
158,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
159,Moderate,Moderate,Slight,92214.4099008,24101.493496799998,52394.551080000005,15718.365324,30,120,60.0
160,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
161,Complete,Complete,Complete,1571836.5324,245206.4990544,523945.5108,802684.5225456001,180,720,720.0
162,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
163,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
164,Extensive,Moderate,Extensive,520801.8377352,122603.2495272,52394.551080000005,345804.037128,90,360,360.0
165,Extensive,Moderate,None,174997.8006072,122603.2495272,52394.551080000005,0.0,90,360,360.0
166,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
167,Slight,Moderate,None,57634.00618800001,5239.455108,52394.551080000005,0.0,2,5,0.0
